Date,Pizza,#,Pizzeria
07/11/2024,Siciliana,1,Da Rida
07/11/2024,Margherita,4,Da Rida
07/11/2024,Tricolore,1,Da Rida
07/11/2024,Taleggio e porcini,1,Da Rida
07/11/2024,Salame piccante,1,Da Rida
07/11/2024,Parmigiana,1,Da Rida
07/11/2024,Wurstel e patatine,1,Da Rida
07/11/2024,Speck e scamorza,1,Da Rida
07/11/2024,Tonno,1,Da Rida
14/11/2024,Bufala e salsiccia,1,Pizzeria del Corso
14/11/2024,Margherita,4,Pizzeria del Corso
14/11/2024,Wurstel e patatine,4,Pizzeria del Corso
14/11/2024,Porcini,1,Pizzeria del Corso
14/11/2024,Prosciutto e funghi,1,Pizzeria del Corso
14/11/2024,Salame piccante,1,Pizzeria del Corso
14/11/2024,Siciliana,1,Pizzeria del Corso
14/11/2024,Tricolore,1,Pizzeria del Corso
21/11/2024,Quattro stagioni,1,Pizzeria del Corso
21/11/2024,Margherita,2,Pizzeria del Corso
21/11/2024,Napoli,1,Pizzeria del Corso
21/11/2024,Wurstel e patatine,4,Pizzeria del Corso
21/11/2024,Salame piccante,1,Pizzeria del Corso
18/12/2024,Wurstel e patatine,2,Bottega della Pizza
18/12/2024,Prosciutto,2,Bottega della Pizza
18/12/2024,Margherita,1,Bottega della Pizza
17/01/2025,Quattro formaggi,1,Pizzeria del Corso
17/01/2025,Quattro stagioni,2,Pizzeria del Corso
17/01/2025,Wurstel e patatine,4,Pizzeria del Corso
17/01/2025,Salame piccante,1,Pizzeria del Corso
17/01/2025,Siciliana,1,Pizzeria del Corso
17/01/2025,Tricolore,1,Pizzeria del Corso
23/01/2025,Wurstel e patatine,4,Pizzeria del Corso
30/01/2025,Wurstel e patatine,3,Pizzeria del Corso
30/01/2025,Margherita,3,Pizzeria del Corso
30/01/2025,Salame piccante,3,Pizzeria del Corso
30/01/2025,Salsiccia e bufala,1,Pizzeria del Corso
07/02/2025,Salsiccia e bufala,2,Pizzeria del Corso
07/02/2025,Margherita,3,Pizzeria del Corso
07/02/2025,Wurstel e patatine,4,Pizzeria del Corso
07/02/2025,Prosciutto e funghi,1,Pizzeria del Corso
07/02/2025,Salame piccante,3,Pizzeria del Corso
07/02/2025,Parmigiana,1,Pizzeria del Corso
14/02/2025,Napoli,1,Pizzeria del Corso
14/02/2025,Wurstel e patatine,2,Pizzeria del Corso
14/02/2025,Prosciutto e funghi,1,Pizzeria del Corso
14/02/2025,Prosciutto,1,Pizzeria del Corso
14/02/2025,Tonno e cipolle,3,Pizzeria del Corso
25/02/2025,Margherita,1,Da Rida
25/02/2025,Wurstel e patatine,1,Da Rida
25/02/2025,Salame piccante,1,Da Rida
25/02/2025,Salsiccia e bufala,1,Da Rida
25/02/2025,Speck,1,Da Rida
07/03/2025,Quattro stagioni,1,Pizzeria del Corso
07/03/2025,Margherita,2,Pizzeria del Corso
07/03/2025,Napoli,1,Pizzeria del Corso
07/03/2025,Prosciutto e funghi,1,Pizzeria del Corso
07/03/2025,Salame piccante,1,Pizzeria del Corso
07/03/2025,Wurstel e patatine,3,Pizzeria del Corso
07/03/2025,Parmigiana,1,Pizzeria del Corso
